Name,SMILES
dds5_enamine89,Cc1cccc(c1)c1cccc(c1)C(=O)NCC(=O)Nc1cccc2c(=O)[nH][nH]c(=O)c12
dds5_enamine90,COC(=O)c1cc2c(F)c(F)cc(F)c2[nH]1
dds5_enamine91,Cn1cc([N+](=O)[O-])c(n1)S(=O)(=O)N1CC(=O)NCC1c1ccccc1
dds5_enamine92,COc1ccc(cc1)c1cc(NC(=O)c2cc(no2)c2ccccc2F)ncn1
dds5_enamine93,COc1ccc(cc1)c1cc(NC(=O)c2cc(NC(=O)C)ccc2F)ncn1
dds5_enamine94,CC(Nc1nc(C)nc2n(ncc12)c1cccc(F)c1)c1cnc(C)s1
dds5_enamine95,CC1(CC(F)(F)C1)C(=O)N1Cc2ccccc2OC2(CCN(CC2)C(=O)c2cncnc2)C1
dds5_enamine96,CC(=O)Nc1c[nH]nc1C1CCCN(C1)C(=O)c1ccnc(CO)c1
dds5_enamine97,CCOC(=O)c1cnn2ccc(NC(=O)COc3ccc(cc3)C(=O)c3ccccc3)cc12
dds5_enamine98,Cc1ccc2nnc(CNC(=O)C34CC3C4)n2c1
dds5_enamine99,COc1cccc(OCC(=O)N2CCCC(C2)N(C)CC(=O)N2CCC2)c1
dds5_enamine100,NC(=O)C1N(Cc2n[nH]cc12)C(=O)CCC1CCC(=O)NC1
dds5_enamine101,FC(F)(F)c1ccc(CC(=O)NS(=O)(=O)c2cc(Cl)cc3cccnc23)cc1
dds5_enamine102,Cc1n[nH]cc1N(C(C(=O)NC1CCCCC1)c1ccccn1)C(=O)c1ccccc1
dds5_enamine103,O=C(CNC(=O)[C@@H]1C[C@H]1c1cccc(C#N)c1)Nc1cccnc1
dds5_enamine104,Br.Cc1ccnc(c1)N1CCN(CC1)/C(=N/CCc1ccccc1)/NC[C@H]1COCCO1
dds5_enamine105,NC1CCCc2cc(ccc12)c1nc(no1)c1n[nH]c(n1)c1cccc(Br)c1
dds5_enamine106,COCCN1CN(CC1=O)C(=O)c1cc(Br)cn1C
dds5_enamine107,COc1ccccc1CCNC(=O)CN1CCCC(C1)N1CCCC1
dds5_enamine108,CC1(C)SCC1NC(=O)Nc1cccc2OCOc12
dds5_enamine109,Fc1ccc(CN(C2CC2)C(=O)Nc2cn(Cc3ccccc3)nn2)c(F)c1
dds5_enamine110,COc1ccc(cc1)c1nn(cc1CC(=O)Nc1cc[nH]n1)c1ccccc1
dds5_enamine111,CC(N1C(=O)NC2(CCCC2)C1=O)C(=O)NCc1cccnc1n1ccnc1
dds5_enamine112,CCOc1ccccc1C(=O)N1CC[C@@H](C1)OC(F)F
dds5_enamine113,CCn1c(SCc2ncc(Cl)n2C)ncc1c1ccc2OCCOc2c1
dds5_enamine114,Fc1cc(C#N)ccc1N1CCN(CC1)C(=O)C1CCN(CC1)C1CC1
dds5_enamine115,O=C(NC1CCCCC1)N1CCN(CC1)C(=O)c1cc[nH]n1
dds5_enamine116,Fc1ccc(NC(=O)N2CCOc3ccccc3C2)cc1
dds5_enamine117,CN(Cc1ccc(Br)o1)C(=O)c1oc2CCCC(=O)c2c1C
dds5_enamine118,Oc1ccc2CCN(Cc2c1)C(=O)Cn1c(=O)[nH]c2ccccc2c1=O
dds5_enamine119,COc1cccc(c1)C(O)CN(Cc1ccccc1)C(=O)c1ccc2NC(=O)CCc2c1
dds5_enamine120,O=C(NCCN1C(=O)c2ccccc2C1=O)[C@H]1CCCO1
dds5_enamine121,CCCC(=O)Nc1nc2ccc(NC(=O)c3cc(C)nc4[nH]nc(C)c34)cc2s1
dds5_enamine122,COc1cc(ccc1Cl)C(=O)N1CC(C1)n1nc(C)nc1C
dds5_enamine123,CCC1(O)CN(C1)C(=O)c1coc(c1)S(=O)(=O)N(C)C
dds5_enamine124,CCNC(=O)c1ccc(CNC(=O)C2CCCN(C2)C(=O)N2CCCC2)cc1
dds5_enamine125,CCCN1CCC(CC1)NC(=O)CCc1nc2cc(ccc2n1C)S(=O)(=O)N(C)C
dds5_enamine126,Cc1nccn1c1ncccc1CNC(=O)C1(CCC1)c1cccc(C)c1
dds5_enamine127,OC(=O)C1CCN(C1)c1ccnc2cc(ccc12)C(F)(F)F
dds5_enamine128,O=C(CCc1nnc(o1)c1ccsc1)N1CCCC1
dds5_enamine129,CC(C)N1CC(CC1=O)C(=O)N1CCc2c(C1)nc[nH]c2=O
dds5_enamine130,COc1ccc2CCN(CCc2c1)C(=O)c1ccnc(NC(=O)C(C)C)c1
dds5_enamine131,CCOc1ccc(CN2CCN(Cc3cncnc3)CC2)cc1
dds5_enamine132,Cc1occc1C(=O)Nc1cc(NC(=O)C(C)(C)N)ccc1F
dds5_enamine133,Cc1ccc(CN2CCC(CC2)Oc2ccccc2)nc1
dds5_enamine134,CN(CC(C)(CO)CO)c1nccn(C)c1=O
dds5_enamine135,Fc1ccc(COC2CCN(CC2)c2ccccn2)cc1
dds5_enamine136,Fc1ccc2CN(CCc2c1)C(=O)CCCc1nc2ccccc2c(=O)[nH]1
dds5_enamine137,Cc1cnn(C)c1S(=O)(=O)N1CCCC1c1ccccc1
dds5_enamine138,CC(C)CC(=O)N1CCC(CC1)NC(=O)c1cccc2cccnc12
dds5_enamine139,CC(=O)Nc1cnc(s1)c1ccccc1
dds5_enamine140,Fc1ccc2CCC(N3CCOC4(CCCOC4)C3)c2c1
dds5_enamine141,CC(C)C1CN(CCCO1)C(=O)c1c[nH]nn1
dds5_enamine142,O=C(NOC1CCC1)C1CCCc2[nH]ncc12
dds5_enamine143,Cc1ccc(F)cc1C1(CC1)c1noc(n1)C(=O)N1CCN(CC1)c1ccccc1
dds5_enamine144,OCC1CN(CC(=O)Nc2nc(cs2)c2ccccc2)CCC1(F)F
dds5_enamine145,CC(C)[C@@H](NS(=O)(=O)c1cc(Br)sc1C)C#N
dds5_enamine146,CN1C2CCCC1CC(C2)NC(=O)c1oc2ccccc2c1CS(=O)(=O)C
dds5_enamine147,CC(NC(=O)NC1CC1)c1cccc(c1)n1ccnc1
dds5_enamine148,Cn1ncc(C(=O)N[C@H](CC(=O)N)c2ccc(Cl)cc2)c1Cc1ccccc1
dds5_enamine149,Fc1cccc(c1)C1(CC1)C(=O)Nc1cc([nH]n1)C1CCOCC1
dds5_enamine150,OC(CNS(=O)(=O)c1c(F)cccc1Cl)(c1ccccc1)C(F)(F)F
