Name,SMILES,Affinity
hll_enamine259518,O=C1N2C(c3ccccc13)n1nc(c3cccs3)c(=O)nc1-c1ccccc21,-9.892
hll_enamine265598,O=C(Nc1ccc2OCCNCc2c1)N1CC(C2CCCCC12)c1ccccc1,-9.891
brd_enamine4198,OC(=O)C1CCOc2ccc(cc12)c1ccc2C(=O)NCCCc2c1,-9.889
hll_enamine216964,Cc1cc(NC(=O)COC(=O)c2c3CCCCc3nc3ccccc23)no1,-9.886
CHEMBL4548151,Cc1nnc2n1-c1ccc(-c3cnc(N)nc3)cc1C(Nc1ccc(Cl)cc1)CC2,-9.885
hll_enamine64801,CCn1nnc2cc(ccc12)C(=O)N1CC(Oc2ccccc12)C(=O)N,-9.883
brd4_chemdiv1073,c12n(nc(c1c1c(c(n2)c2ccc(cc2)Cl)cc(c(c1)OC)OC)C)c1ccccc1,-9.878
brd4_chemdiv2549,S1(=O)(=O)C(=CN(c2c1cccc2)c1cc(ccc1)C)C(=O)N1CCCC1,-9.873
hll_enamine283719,C[C@H]1CN(C[C@@H](C)O1)C(=O)c1ccc(cc1)C1(C)NC(=O)NC1=O,-9.871
CHEMBL3785668,Cc1nnc(C[C@@H]2C=C(c3ccc(Cl)cc3)c3ccccc3-n3c(C)nnc32)o1,-9.871
hll_enamine171013,CC(C)c1cc(C(=O)Nc2ccc3oc(C)nc3c2)c2ccccc2n1,-9.868
CHEMBL3650937,Cc1nn(-c2ccnn2C)c2c1C(c1ccc(Cl)cc1)N(c1cc(C)c3nnc(C)n3c1)C2=O,-9.867
hll_enamine259123,Cc1cnc2c(C)cccc2c1N1CCC(CC1)C1(C)NC(=O)NC1=O,-9.865
brd4_chemdiv873,c1(c2c(oc(=O)c1)cc1c(c(co1)c1ccc(cc1)OC)c2)c1ccc(cc1)OC,-9.864
hll_enamine138292,O=C(N1CCC(CC1)n1ccnc1)c1cc(nc2ccccc12)C1CC1,-9.859
CHEMBL4169698,Cc1nnn2c1-c1ccc(C(=O)Nc3ccccc3)cc1N(c1ccc(Cl)cc1)CC2,-9.859
brd4_chemdiv1947,c12c(S(=O)(=O)c3ccccc3)nnn1c1c(c(n2)Nc2ccc(cc2)C)scc1,-9.857
CHEMBL4789090,Cc1ccc(-c2ccc3c(c2)N(c2ccc(Cl)cc2)C[C@@H](C)c2nnc(C)n2-3)cn1,-9.853
brd4_chemdiv846,n12c(nnc2C)c2c(c(n1)c1cc(S(=O)(=O)NC)c(cc1)C)cccc2,-9.85
hll_enamine224513,CC1CCN(C(=O)c2ccc3c(NC(=O)C3(C)C)c2)c2c(O)cccc12,-9.849
hll_enamine163328,Cc1cccc(NC(=O)C2CCCN(C2)C(=O)c2ccc3OCCOc3c2)n1,-9.848
hll_enamine303172,CC1CCc2ccccc2N1C(=O)c1ccc(Cn2nnc3ccccc23)cc1,-9.843
brd_enamine7194,FC(F)(F)c1nnc2CN(CCn12)C(=O)c1cc(nc2ccccc12)c1ccncc1,-9.838
CHEMBL4572314,CC(=O)Nc1ccc2c(c1)C(Nc1ccc(Cl)cc1)CCc1nnc(C)n1-2,-9.833
brd4_chemdiv1710,c1(c2c(oc(=O)c1)cc1c(c3c(o1)CCCC3)c2)c1ccccc1,-9.826
hll_enamine347667,Fc1cc(F)c(NC(=O)C2Cc3ccccc3C(=O)O2)c(c1)c1ccccc1,-9.822
brd_enamine13013,CC(=O)N1N=C(CC1c1cccnc1)c1c(C)nc2ccc(Cl)cc2c1c1ccccc1,-9.822
hll_enamine326014,Cc1ccc(NC(=O)c2nn(c3ccccc3)c(=O)c3ccccc23)c(F)c1,-9.821
hll_enamine244871,Cc1cccc(C(=O)N2CCC(CC2)C2(C)NC(=O)NC2=O)c1C,-9.82
hll_enamine247664,O=C(N1CCCc2ccccc12)c1ccc2C(=O)N(Cc3ccccc3)C(=O)c2c1,-9.818
brd_enamine8995,FC(F)(F)c1cccc(NC(=O)c2cc(nc3ccccc23)c2cccnc2)n1,-9.813
brd_enamine9204,Fc1cccc(c1)C(NC(=O)C1CC(=O)NC2CCCCC12)c1cccc(Cl)c1,-9.813
brd4_chemdiv1719,c12c(c(c3c(c2)CN(CO3)CCc2c(F)cccc2)C)oc(=O)cc1c1ccccc1,-9.813
hll_enamine438743,Fc1ccc(F)c(NC(=O)c2nn(c3ccccc3)c(=O)c3ccccc23)c1,-9.808
brd_enamine3274,CCCc1noc2nc(cc(C(=O)NCc3cccc(c3)C3(C)NC(=O)NC3=O)c12)c1ccco1,-9.799
brd_enamine5754,CC1Oc2c(cccc2NC1=O)C(=O)Nc1ccc(C)c2cn[nH]c12,-9.799
CHEMBL4540207,Cc1nnc(C[C@@H]2N=C(c3ccc(Cl)cc3)c3ccccc3-n3c(C)nnc32)o1,-9.796
hll_enamine301731,Fc1ccc(cc1F)n1nc(C(=O)Nc2ccccc2c2nnn[nH]2)c2CCCc12,-9.779
brd4_chemdiv119,c1(c2c(=O)oc3c(c2)cc(cc3)Br)c2c(oc(=O)c1)cc(cc2)O,-9.776
hll_enamine250296,CC(C)c1nnc(NC(=O)c2nn(c3ccccc3)c(=O)c3ccccc23)s1,-9.775
hll_enamine296533,COC1Cc2ccc(NC(=O)N3Cc4ccccc4CC3c3ccccc3)cc2C1,-9.775
hll_enamine336556,Cc1nnc(o1)C1Cc2ccccc2CN1C(=O)C1CC21CCCc1ccccc21,-9.774
hll_enamine340187,O=C(C1CCS(=O)(=O)c2ccccc12)N1CCN(CC1)c1cncc2ccccc12,-9.773
CHEMBL4168913,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3n[nH]c4ccccc34)c12,-9.769
brd_enamine14694,Cc1[nH]c2ccc(F)cc2c1CCNC(=O)C1CC(=O)NC2CCCCC12,-9.768
hll_enamine263994,CC(C)(C(=O)N1CCN(CC1)C(=O)c1cc(O)nc2ccccc12)c1ccccc1,-9.765
brd_enamine538,Cc1ccc(cc1C)c1nnc(n2nnc3ccccc23)c2ccccc12,-9.765
CHEMBL4456035,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1C(Nc1ccc(C#N)cc1)CC2,-9.758
brd_enamine214,Cc1noc2nc(cc(C(=O)Nc3cccc(c3)C3(C)NC(=O)NC3=O)c12)c1ccccc1F,-9.757
brd_enamine8922,O(c1ccc(cc1)c1nnco1)c1nc(nc2ccccc12)c1cccnc1,-9.754
brd_enamine146,FC(F)(F)c1ccccc1C1C=C(Nc2nc3ccccc3n12)c1ccccc1,-9.746
brd_enamine10998,Cc1cc(Cn2nc(c3cc(C)ccc3C)c3ccccc3c2=O)no1,-9.741
brd4_chemdiv1711,c1(c2c(oc(=O)c1)cc1c(c3c(o1)CCCC3)c2)c1ccc(cc1)OC,-9.739
hll_enamine94758,CC(C)c1cc(C(=O)N2CC(CC2C)c2ccc(C)cc2)c2c(C)noc2n1,-9.737
hll_enamine443025,NS(=O)(=O)c1ccc(CNc2ncnc3scc(c4ccc(F)cc4)c23)cc1,-9.737
brd4_chemdiv1072,c12n(nc(c1c1c(c(n2)c2ccccc2)cc(c(c1)OC)OC)C)c1ccccc1,-9.734
hll_enamine315481,Cc1nc2ccc(cc2nc1C)C(=O)Nc1ccccc1C(=O)NC1CC1,-9.731
hll_enamine283836,COc1cc(C(=O)N2CCN(CC2)c2ncccc2F)c2ccccc2n1,-9.73
brd_enamine2762,Cc1noc2nc(C)cc(C(=O)N3CCC(CC3)c3c[nH]c4ccccc34)c12,-9.73
brd_enamine14578,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(n1)c1nn[nH]c1c1ccccc1,-9.73
hll_enamine189644,FC(F)(F)c1nc(Oc2ccc(cc2)n2cccn2)c2ccccc2n1,-9.726
