Name,SMILES,Affinity
ab_enamine16624,COc1ccc(cc1NC(=O)C)S(=O)(=O)Nc1cccc(c1)c1nc(C)cc(=O)[nH]1,-8.543
ab_enamine22981,[O-][N+](=O)c1cc(n[nH]1)C(=O)Nc1ccn(n1)c1cccc(c1)C(F)(F)F,-8.542
ab_enamine26742,[O-][N+](=O)c1c(F)cccc1N1CCN(Cc2ccc3OCCc3c2)CC1,-8.538
ab_enamine16812,O=S(=O)(Nc1nc2ccccc2nc1NCCN1CCOCC1)c1ccc2OCCOc2c1,-8.535
ab_enamine27938,CC1(C)C(NC1=O)C1CCN(CC1)C(=O)c1cc(nc2ccccc12)c1ccccc1,-8.533
ab_enamine22689,[O-][N+](=O)c1cc2CCC(=O)Nc2cc1N1CCC(CC1)NC(=O)Cc1ccccc1,-8.53
ab_enamine6867,[O-][N+](=O)c1cc(ccc1N1CCOC1=O)S(=O)(=O)Nc1nnc(CCc2ccco2)[nH]1,-8.527
ab_enamine8729,Cc1nc2cc(F)ccc2cc1C(=O)N1CCC(CC1)NS(=O)(=O)C,-8.526
ab_enamine26795,[O-][N+](=O)c1cc(Cl)ccc1N1CCN(CC1)C(=O)CCc1ncc(o1)c1ccccc1F,-8.524
ab_enamine11969,Cc1cc2ncc(C(=O)Nc3ccc(F)c(NS(=O)(=O)C)c3)c(C)n2n1,-8.522
ab_enamine28720,COC(=O)c1c(C)c2ccccc2nc1CSc1nnnn1c1ccc(C)cc1,-8.519
ab_enamine16296,Cc1c(cnn1c1ccc(F)cc1)C(=O)NS(=O)(=O)c1cccc(c1)c1nnco1,-8.518
ab_enamine9820,Cc1ncc([nH]1)S(=O)(=O)Nc1cccc2oc(nc12)C(F)(F)F,-8.515
ab_enamine15571,Clc1cccc(c1)S(=O)(=O)NC(=O)c1ccc2NC(=O)COc2c1,-8.515
ab_enamine25660,Oc1cc(cc(c1)[N+](=O)[O-])C(=O)OC1CCCN(Cc2ccc(F)cc2F)C1=O,-8.512
ab_enamine27004,Cc1nn(CC(=O)N2C(CCc3ccccc23)C(=O)Nc2ccc(C)cc2)c(C)c1[N+](=O)[O-],-8.51
ab_enamine11904,Fc1ccc(cc1F)S(=O)(=O)Nc1ccc(cc1)C(=O)N1CCNC(=O)C1,-8.506
ab_enamine28226,[O-][N+](=O)c1cccnc1NCc1ccc(o1)c1nc2ccccc2s1,-8.505
ab_enamine16069,CC1CN(CC(C)O1)S(=O)(=O)N1CCN(CC1)C(=O)c1ccc([N+](=O)[O-])c(C)c1,-8.5
ab_enamine27744,[O-][N+](=O)c1c(nc2ccccn12)N1CCOC(C1)c1cccc(c1)C(F)(F)F,-8.499
ab_enamine26322,Cc1ccc(NC(=O)c2nnc(COc3ccccc3[N+](=O)[O-])s2)cc1,-8.498
ab_enamine27860,Cc1csc2nc(COC(=O)c3cc4ccccc4nc3N3CCCC3)cc(=O)n12,-8.495
ab_enamine27560,COc1ccc2nc(C)c(cc2c1)C(=O)OCc1nnnn1c1ccc(cc1)C(F)(F)F,-8.495
ab_enamine13016,NS(=O)(=O)c1ccc2nc(NC(=O)Cn3[nH]c(=O)c4ccccc4c3=O)sc2c1,-8.493
ab_enamine24498,CN(Cc1cccc(c1)[N+](=O)[O-])C(=O)C1Cc2ccccc2C(=O)O1,-8.491
ab_enamine20653,[O-][N+](=O)c1ccccc1N1CCC(CC1)C(=O)N1CCC(CC1)c1nnc2ccccn12,-8.486
ab_enamine28183,Cc1cc(C)c2oc(NC(=O)CCNc3ccccc3[N+](=O)[O-])nc2c1,-8.484
ab_enamine5551,O=C(N1CCC2(CC1)NC(=O)NC2=O)c1cccc(NS(=O)(=O)c2ccc3OCCOc3c2)c1,-8.478
ab_enamine22421,[O-][N+](=O)c1ccc(C(=O)N2CCN(CC2)c2ncncc2Cl)c(F)c1,-8.477
ab_enamine22506,Oc1cccc(c1)c1csc(NC(=O)c2ccc([N+](=O)[O-])c(O)c2)n1,-8.476
ab_enamine16742,Cc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)c1ccc(cc1)S(=O)(=O)NC1CCS(=O)(=O)C1,-8.472
ab_enamine27156,[O-][N+](=O)c1cc(ccc1n1ccnc1)C(=O)N1C2CCC1C=C(C2)c1ccccc1,-8.471
ab_enamine27699,CC1(C)COC(CN1CC(=O)Nc1ccccc1[N+](=O)[O-])c1ccccc1Cl,-8.47
ab_enamine9278,CC(N1CCCC(C1)S(=O)(=O)N)c1nc2ccccc2c(=O)[nH]1,-8.466
ab_enamine25167,[O-][N+](=O)c1cccn(Cc2nc3ccccc3c3ccccc23)c1=O,-8.465
ab_enamine9531,CS(=O)(=O)Nc1nc2CCN(Cc2s1)C(=O)c1cc2cc(F)ccc2[nH]1,-8.464
ab_enamine26734,Cc1ccc2nc(COC(=O)c3cnc4ccccc4c3C(F)(F)F)cc(=O)n2c1,-8.462
ab_enamine4793,CC(NC(=O)NCc1ccc(cc1)S(=O)(=O)N)c1nnc2ccccn12,-8.461
ab_enamine10639,Cc1ccc(NC(=O)c2cc3C(=O)CCCc3[nH]c2=O)cc1S(=O)(=O)N,-8.458
ab_enamine13193,[O-][N+](=O)c1cc(F)c(c(F)c1)S(=O)(=O)N1CCCN(CC(=O)N2CCCC2)CC1,-8.454
ab_enamine3236,O=C(C1CCN(CC1)S(=O)(=O)c1ccc2OCCCOc2c1)N1CCC2(CC(=O)N2)CC1,-8.452
ab_enamine28717,CCC(NC(=O)c1ccc(Nc2ccccc2)c(c1)[N+](=O)[O-])c1nnc2CCCCCn12,-8.452
ab_enamine21743,[O-][N+](=O)c1ccccc1CC(=O)NC1CCN(CC1)C(=O)c1ccccc1F,-8.449
ab_enamine27225,NC(=O)c1cn(nc1C1CCCN(C1)c1ccc(F)cc1[N+](=O)[O-])c1ccccc1,-8.447
ab_enamine17559,Cc1ccc(NS(=O)(=O)c2ccc(cc2)C(=O)N2CCC3(CC(=O)N3)CC2)cc1,-8.445
ab_enamine15935,CS(=O)(=O)Nc1cccc2N(CCCc12)S(=O)(=O)c1ccc2[nH]c(=O)oc2c1,-8.438
ab_enamine15847,CCOC(=O)Nc1cccc(c1)C(=O)NCc1nnc2ccccn12,-8.438
